
3.4623659625,7.8024692815,0
3.0286710768,4.3894997524,0
3.5847408770,7.2902198027,0
6.0182599386,8.6308552095,1
7.9032736051,7.5344376437,1
4.5083277477,5.6316371782,0
6.1106664537,9.6511425885,1
7.5024745567,4.6554013541,1
7.6098786702,8.7420569719,1
8.4432819961,4.3533393311,1
9.5861555071,3.8225278058,0
7.5013658390,3.0603263234,0
8.2307053374,7.6481963302,1
6.9364588760,9.7718691962,1
3.9538339144,7.6036810851,0
5.3971052149,8.9207350138,1
6.9070144063,5.2740469730,1
6.7946855477,4.6678574107,0
7.0661509555,9.2927137894,1
7.6978783727,4.7575963650,1
6.7372027546,4.2838438320,0
8.9676775751,6.5799365927,1
5.0534788290,4.8855811528,0
3.4212060978,4.4209528599,0
7.7924091455,6.8972359993,1
6.2271013670,6.9954457954,1
8.0190180751,4.4821628932,1
9.3114388797,3.8800670337,0
6.1830206023,5.0256107892,0
3.8785803797,6.4995680955,0
6.1379289447,7.2807887313,1
8.5404519394,5.7051983976,1
5.2107979732,6.3127623769,0
